leto,mesto,ime_tekmovalca,država,ekipa,čas
2013,65,Thomas Voeckler,Francija,Team Europcar,2:12:48

2013,66,Arthur Vichot,Francija,FDJ.fr ,2:15:06

2013,67,Jens Voigt,Nemčija,RadioShack-Leopard,2:15:09

2013,68,Simon Clarke,Avstralija,Orica GreenEDGE,2:20:14

2013,69,Ion Izagirre,Španija,Euskaltel-Euskadi,2:21:32

2013,70,Ryder Hesjedal,Kanada,Garmin-Sharp,2:21:41

2013,71,Alessandro De Marchi,Italija,Cannondale,2:23:11

2013,72,Adam Hansen,Avstralija,Lotto-Belisol,2:23:15

2013,73,Rudy Molard,Francija,Cofidis,2:25:25

2013,74,Daryl Impey,JAR,Orica GreenEDGE,2:26:37

2013,75,Simon Geschke,Nemčija,Argos-Shimano,2:27:42

2013,76,Manuele Mori,Italija,Lampre-Merida,2:28:19

2013,77,Peter Kennaugh,Velika Britanija,Team Sky,2:33:46

2013,78,Juan José Oroz,Španija,Euskaltel-Euskadi,2:33:55

2013,79,José  Joaquín Rojas,Španija,Movistar Team,2:34:05

2013,80,Simon Gerrans,Avstralija,Orica GreenEDGE,2:34:36

2013,81,Julien El Fares,Francija,Sojasun,2:36:28

2013,82,Peter Sagan,Slovaška,Cannondale,2:38:51

2013,83,Sergey Lagutin,Rusija,Vacansoleil-DCM,2:38:55

2013,84,Francesco Gavazzi,Italija,Astana,2:39:08

2013,85,Manuel Quinziato,Italija,BMC Racing Team,2:39:34

2013,86,Michael Albasini,Švica,Orica GreenEDGE,2:40:22

2013,87,Julien Simon,Francija,Sojasun,2:41:24

2013,88,Luis Ángel Maté,Španija,Cofidis,2:43:28

2013,89,Anthony Delaplace,Francija,Sojasun,2:44:13

2013,90,Kanstantsin Siutsou,Belorusija,Team Sky,2:44:43

2013,91,Brent Bookwalter,ZDA,BMC Racing Team,2:45:05

2013,92,Matteo Tosatto,Italija,Saxo-Tinkoff,2:47:39

2013,93,Juan Antonio Flecha,Španija,Vacansoleil-DCM,2:48:03

2013,94,Moreno Moser,Italija,Cannondale,2:53:27

2013,95,Enrico Gasparotto,Italija,Astana,2:53:36

2013,96,Thomas de Gendt,Belgija,Vacansoleil-DCM,2:53:41

2013,97,Jonathan Castroviejo,Španija,Movistar Team,2:53:41

2013,98,Marcus Burghardt,Nemčija,BMC Racing Team,2:54:01

2013,99,Yukiya Arashiro,Japonska,Team Europcar,2:54:53

2013,100,Kristijan Koren,Slovenija,Cannondale,2:57:03

2013,101,Johnny Hoogerland,Nizozemska,Vacansoleil-DCM,2:57:59

2013,102,Rein Taaramäe,Estonija,Cofidis,2:59:09

2013,103,Markel Irizar,Španija,RadioShack-Leopard,2:59:39

2013,104,Brice Feillu,Francija,Sojasun,2:59:45

2013,105,Lars Boom,Nizozemska,Belkin Pro Cycling,3:02:52

2013,106,Tony Martin,Nemčija,Omega Pharma-Quick-Step,3:05:25

2013,107,Daniele Bennati,Italija,Saxo-Tinkoff,3:05:55

2013,108,Lars Ytting Bak,Danska,Lotto-Belisol,3:07:12

2013,109,Alberto Losada,Španija,Team Katusha ,3:07:26

2013,110,Pavel Brutt,Rusija,Team Katusha ,3:09:47

2013,111,Alan Marangoni,Italija,Cannondale,3:10:01

2013,112,Cyril Lemoine,Francija,Sojasun,3:11:38

2013,113,David Millar,Velika Britanija,Garmin-Sharp,3:14:25

2013,114,Maciej Bodnar,Poljska,Cannondale,3:15:15

2013,115,Egoitz García,Španija,Cofidis,3:16:28

2013,116,Jean-Marc Marino,Francija,Sojasun,3:16:30

2013,117,Fabio Sabatini,Italija,Cannondale,3:18:40

2013,118,Imanol Erviti,Španija,Movistar Team,3:19:12

2013,119,Gatis Smukulis,Latvija,Team Katusha ,3:21:06

2013,120,Ramunas Navardauskas,Litva,Garmin-Sharp,3:21:29

2013,121,John Degenkolb,Nemčija,Argos-Shimano,3:23:23

2013,122,Romain Sicard,Francija,Euskaltel-Euskadi,3:23:54

2013,123,David Veilleux,Kanada,Team Europcar,3:24:16

2013,124,Sébastien Minard,Francija,AG2R La Mondiale,3:24:28

2013,125,Blel Kadri,Francija,AG2R La Mondiale,3:27:17

2013,126,Jérémy Roy,Francija,FDJ.fr ,3:28:39

2013,127,David Lopez,Španija,Team Sky,3:28:47

2013,128,Elia Favilli,Italija,Lampre-Merida,3:31:19

2013,129,André Greipel,Nemčija,Lotto-Belisol,3:32:07

2013,130,Cameron Meyer,Avstralija,Orica GreenEDGE,3:32:14

2013,131,Sep Vanmarcke,Belgija,Belkin Pro Cycling,3:34:33

2013,132,Maarten Wynants,Belgija,Belkin Pro Cycling,3:37:06

